0:0:0:0:0:0:0:1 - admin [10/Jan/2017:09:42:35 -0600] "GET /manager/html HTTP/1.1" 200 16976
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:42:39 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:42:39 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:42:55 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:42:57 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:42:59 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:43:20 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:43:27 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:43:59 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:44:09 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:44:09 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:04 -0600] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:14 -0600] "GET /csj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:14 -0600] "GET /csj/ HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:32 -0600] "GET /csj/HelloWorld HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:07 -0600] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:46:24 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /asf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:53 -0600] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:54 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:54 -0600] "GET /tomcat.css HTTP/1.1" 304 -
